"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"IGHG2C","IFITM1","IGHV3-1"
"IGHG3","IFITM2","IGHV3-3"
"IGHM","IFITM3","IGHV3-4"
"IGHV1-4","IFITM6","IGHV3-5"
"IGHV1-5","IFITM7","IGHV3-6"
"IGHV1-7","IFNA","IGHV3-8"
"IGHV1-9","IFNA1","IGHV4-1"
"IGHV1-11","IFNA2","IGHV5-2"
"IGHV1-12","IFNA4","IGHV5-4"
"IGHV1-15","IFNA6","IGHV5-6"
"IGHV1-16","IFNA9","IGHV5-9"
"IGHV1-18","IFNA11","IGHV5-9-1"
"IGHV1-19","IFNA12","IGHV5-12"
"IGHV1-20","IFNA13","IGHV5-12-4"
"IGHV1-22","IFNAR1","IGHV5-15"
"IGHV1-23","IFNAR2","IGHV5-16"
"IGHV1-24","IFNB1","IGHV5-17"
"IGHV1-26","IFNE","IGHV6-3"
"IGHV1-31","IFNG","IGHV6-4"
"IGHV1-34","IFNGR1","IGHV6-5"
"IGHV1-36","IFNGR2","IGHV6-6"
"IGHV1-37","IFNK","IGHV6-7"
"IGHV1-39","IFNL2","IGHV7-2"
"IGHV1-42","IFNL3","IGHV7-4"
"IGHV1-43","IFNLR1","IGHV8-2"
"IGHV1-47","IGF1","IGHV8-4"
"IGHV1-49","IGF2","IGHV8-5"
"IGHV1-50","IGH-7","IGHV8-6"
"IGHV1-52","IGH-8","IGHV8-8"
"IGHV1-53","IGHA","IGHV8-9"
"IGHV1-54","IGHD","IGHV8-11"
"IGHV1-55","IGHE","IGHV8-12"
"IGHV1-56","IGHG","IGHV8-13"
"IGHV1-58","IGHG1","IGHV9-1"
"IGHV1-59","IGHG2A","IGHV9-2"
"IGHV1-61","IGHG2B","IGHV9-3"
"IGHV1-62-1","IGHG2C","IGHV9-4"
"IGHV1-62-2","IGHG3","IGHV10-1"
"IGHV1-62-3","IGHM","IGHV10-3"
"IGHV1-63","IGHV1-4","IGHV11-1"
"IGHV1-64","IGHV1-5","IGHV11-2"
